n     dx          L2 Error    L2 Order       Linf Error  Linf Order
16    0.125       2.30E-001                  2.80E-001 
32    0.0625      9.36E-002   1.29775418     1.16E-001   1.2664240928
64    0.03125     2.94E-002   1.6715196176   4.70E-002   1.3085845489
128   0.015625    8.03E-003   1.8720023068   1.65E-002   1.5086058367
256   0.0078125   1.53E-003   2.3889790749   4.17E-003   1.9845779703
512   0.00390625  1.42E-004   3.4321967459   5.23E-004   2.9961533625
1024  0.001953125 6.99E-006   4.3438823732   2.40E-005   4.4445303124
